362, 35080
0, 1, 1
0, 5, 1
0, 13, 1
0, 20, 1
0, 32, 1
0, 51, 1
0, 59, 1
0, 62, 1
0, 63, 1
0, 70, 1
0, 71, 1
0, 72, 1
0, 82, 1
0, 97, 1
0, 108, 1
0, 109, 1
0, 122, 1
0, 129, 1
0, 135, 1
0, 144, 1
0, 161, 1
0, 165, 1
0, 170, 1
0, 172, 1
0, 176, 1
0, 181, 1
0, 197, 1
0, 199, 1
0, 210, 1
0, 223, 1
0, 225, 1
0, 231, 1
0, 232, 1
0, 249, 1
0, 260, 1
0, 264, 1
0, 265, 1
0, 270, 1
0, 271, 1
0, 272, 1
0, 274, 1
0, 282, 1
0, 285, 1
0, 286, 1
0, 291, 1
0, 292, 1
0, 293, 1
0, 296, 1
0, 300, 1
0, 303, 1
0, 311, 1
0, 320, 1
0, 330, 1
0, 331, 1
0, 334, 1
0, 335, 1
1, 14, 1
1, 17, 1
1, 27, 1
1, 28, 1
1, 31, 1
1, 38, 1
1, 39, 1
1, 52, 1
1, 56, 1
1, 88, 1
1, 99, 1
1, 100, 1
1, 103, 1
1, 107, 1
1, 110, 1
1, 111, 1
1, 137, 1
1, 155, 1
1, 157, 1
1, 166, 1
1, 169, 1
1, 186, 1
1, 191, 1
1, 194, 1
1, 196, 1
1, 202, 1
1, 211, 1
1, 232, 1
1, 235, 1
1, 248, 1
1, 256, 1
1, 283, 1
1, 289, 1
1, 294, 1
1, 318, 1
1, 328, 1
1, 330, 1
1, 333, 1
2, 0, 1
2, 14, 1
2, 17, 1
2, 21, 1
2, 23, 1
2, 27, 1
2, 28, 1
2, 31, 1
2, 38, 1
2, 39, 1
2, 52, 1
2, 56, 1
2, 88, 1
2, 99, 1
2, 100, 1
2, 102, 1
2, 103, 1
2, 107, 1
2, 110, 1
2, 111, 1
2, 137, 1
2, 155, 1
2, 157, 1
2, 166, 1
2, 169, 1
2, 186, 1
2, 191, 1
2, 194, 1
2, 202, 1
2, 211, 1
2, 232, 1
2, 235, 1
2, 243, 1
2, 248, 1
2, 256, 1
2, 262, 1
2, 283, 1
2, 289, 1
2, 294, 1
2, 318, 1
2, 328, 1
2, 330, 1
3, 2, 1
3, 12, 1
3, 13, 1
3, 20, 1
3, 32, 1
3, 35, 1
3, 51, 1
3, 70, 1
3, 71, 1
3, 72, 1
3, 82, 1
3, 93, 1
3, 97, 1
3, 108, 1
3, 109, 1
3, 122, 1
3, 129, 1
3, 135, 1
3, 144, 1
3, 154, 1
3, 161, 1
3, 165, 1
3, 170, 1
3, 172, 1
3, 181, 1
3, 182, 1
3, 192, 1
3, 197, 1
3, 201, 1
3, 210, 1
3, 223, 1
3, 225, 1
3, 231, 1
3, 232, 1
3, 236, 1
3, 238, 1
3, 249, 1
3, 260, 1
3, 264, 1
3, 265, 1
3, 270, 1
3, 271, 1
3, 272, 1
3, 282, 1
3, 285, 1
3, 291, 1
3, 296, 1
3, 300, 1
3, 302, 1
3, 303, 1
3, 320, 1
3, 330, 1
3, 331, 1
3, 334, 1
3, 335, 1
3, 336, 1
4, 0, 1
4, 3, 1
4, 7, 1
4, 9, 1
4, 10, 1
4, 12, 1
4, 13, 1
4, 14, 1
4, 16, 1
4, 17, 1
4, 18, 1
4, 20, 1
4, 22, 1
4, 24, 1
4, 25, 1
4, 26, 1
4, 27, 1
4, 28, 1
4, 30, 1
4, 31, 1
4, 32, 1
4, 35, 1
4, 36, 1
4, 37, 1
4, 38, 1
4, 39, 1
4, 40, 1
4, 41, 1
4, 42, 1
4, 43, 1
4, 44, 1
4, 45, 1
4, 46, 1
4, 47, 1
4, 48, 1
4, 49, 1
4, 51, 1
4, 52, 1
4, 54, 1
4, 55, 1
4, 56, 1
4, 57, 1
4, 58, 1
4, 59, 1
4, 61, 1
4, 63, 1
4, 64, 1
4, 67, 1
4, 69, 1
4, 70, 1
4, 71, 1
4, 72, 1
4, 73, 1
4, 74, 1
4, 76, 1
4, 77, 1
4, 78, 1
4, 79, 1
4, 80, 1
4, 81, 1
4, 82, 1
4, 83, 1
4, 84, 1
4, 88, 1
4, 90, 1
4, 92, 1
4, 93, 1
4, 94, 1
4, 95, 1
4, 97, 1
4, 98, 1
4, 100, 1
4, 101, 1
4, 102, 1
4, 103, 1
4, 105, 1
4, 106, 1
4, 107, 1
4, 110, 1
4, 111, 1
4, 112, 1
4, 113, 1
4, 115, 1
4, 116, 1
4, 117, 1
4, 121, 1
4, 122, 1
4, 123, 1
4, 124, 1
4, 125, 1
4, 126, 1
4, 127, 1
4, 129, 1
4, 130, 1
4, 131, 1
4, 132, 1
4, 133, 1
4, 135, 1
4, 137, 1
4, 138, 1
4, 140, 1
4, 141, 1
4, 142, 1
4, 143, 1
4, 144, 1
4, 145, 1
4, 146, 1
4, 148, 1
4, 149, 1
4, 150, 1
4, 153, 1
4, 154, 1
4, 155, 1
4, 157, 1
4, 158, 1
4, 159, 1
4, 160, 1
4, 162, 1
4, 163, 1
4, 164, 1
4, 165, 1
4, 168, 1
4, 169, 1
4, 170, 1
4, 172, 1
4, 173, 1
4, 175, 1
4, 178, 1
4, 179, 1
4, 180, 1
4, 183, 1
4, 185, 1
4, 186, 1
4, 188, 1
4, 189, 1
4, 190, 1
4, 191, 1
4, 193, 1
4, 194, 1
4, 195, 1
4, 196, 1
4, 197, 1
4, 198, 1
4, 201, 1
4, 202, 1
4, 203, 1
4, 205, 1
4, 206, 1
4, 208, 1
4, 209, 1
4, 210, 1
4, 211, 1
4, 212, 1
4, 213, 1
4, 214, 1
4, 215, 1
4, 217, 1
4, 218, 1
4, 220, 1
4, 221, 1
4, 223, 1
4, 224, 1
4, 225, 1
4, 227, 1
4, 228, 1
4, 229, 1
4, 231, 1
4, 232, 1
4, 235, 1
4, 236, 1
4, 239, 1
4, 240, 1
4, 241, 1
4, 242, 1
4, 243, 1
4, 244, 1
4, 245, 1
4, 247, 1
4, 248, 1
4, 249, 1
4, 250, 1
4, 251, 1
4, 253, 1
4, 254, 1
4, 255, 1
4, 256, 1
4, 257, 1
4, 258, 1
4, 259, 1
4, 260, 1
4, 261, 1
4, 262, 1
4, 263, 1
4, 264, 1
4, 266, 1
4, 269, 1
4, 270, 1
4, 271, 1
4, 272, 1
4, 279, 1
4, 281, 1
4, 283, 1
4, 285, 1
4, 286, 1
4, 287, 1
4, 289, 1
4, 290, 1
4, 291, 1
4, 292, 1
4, 294, 1
4, 295, 1
4, 296, 1
4, 298, 1
4, 299, 1
4, 300, 1
4, 302, 1
4, 303, 1
4, 305, 1
4, 307, 1
4, 308, 1
4, 310, 1
4, 312, 1
4, 314, 1
4, 316, 1
4, 317, 1
4, 318, 1
4, 319, 1
4, 321, 1
4, 322, 1
4, 323, 1
4, 327, 1
4, 328, 1
4, 331, 1
4, 333, 1
4, 334, 1
4, 335, 1
4, 337, 1
5, 0, 1
5, 14, 1
5, 17, 1
5, 21, 1
5, 28, 1
5, 31, 1
5, 38, 1
5, 39, 1
5, 52, 1
5, 56, 1
5, 88, 1
5, 100, 1
5, 102, 1
5, 103, 1
5, 107, 1
5, 110, 1
5, 111, 1
5, 115, 1
5, 137, 1
5, 155, 1
5, 157, 1
5, 167, 1
5, 186, 1
5, 191, 1
5, 194, 1
5, 196, 1
5, 202, 1
5, 211, 1
5, 232, 1
5, 235, 1
5, 243, 1
5, 248, 1
